date,Q,target
2024-09-22,19.769500000000008,15.27
2024-09-23,14.506500000000006,22.92
2024-09-24,21.77400000000001,18.82
2024-09-25,17.87900000000001,15.43
2024-09-26,14.658500000000005,12.86
2024-09-27,12.217000000000004,18.66
2024-09-28,17.727000000000007,16.09
2024-09-29,15.285500000000006,15.25
2024-09-30,14.487500000000006,17.55
2024-10-01,16.672500000000007,22.05
2024-10-02,20.94750000000001,20.48
2024-10-03,19.45600000000001,20.28
2024-10-04,19.26600000000001,26.65
2024-10-05,25.31750000000001,14.9
2024-10-06,14.155000000000006,11.93
2024-10-07,11.333500000000004,24.61
2024-10-08,23.37950000000001,20.89
2024-10-09,19.84550000000001,19.08
2024-10-10,18.126000000000005,23.26
2024-10-11,22.097000000000012,19.35
2024-10-12,18.382500000000007,23.34
2024-10-13,22.17300000000001,18.13
2024-10-14,17.223500000000005,14.53
2024-10-15,13.803500000000005,12.78
2024-10-16,12.141000000000005,16.28
2024-10-17,15.466000000000008,20.91
2024-10-18,19.86450000000001,18.64
2024-10-19,17.70800000000001,21.59
2024-10-20,20.510500000000008,18.77
2024-10-21,17.831500000000005,21.41
2024-10-22,20.339500000000008,26.2
2024-10-23,24.89000000000001,23.61
2024-10-24,22.429500000000008,28.76
2024-10-25,27.322000000000013,25.01
2024-10-26,23.75950000000001,23.95
2024-10-27,22.75250000000001,29.63
2024-10-28,28.14850000000001,27.36
2024-10-29,25.99200000000001,31.0
2024-10-30,29.450000000000014,25.64
2024-10-31,24.35800000000001,22.11
2024-11-01,21.004500000000007,25.68
2024-11-02,24.39600000000001,28.54
2024-11-03,27.11300000000001,26.22
2024-11-04,24.90900000000001,24.75
2024-11-05,23.51250000000001,25.73
2024-11-06,24.44350000000001,24.36
2024-11-07,23.14200000000001,24.07
2024-11-08,22.86650000000001,28.31
2024-11-09,26.89450000000001,22.52
2024-11-10,21.39400000000001,21.67
2024-11-11,20.58650000000001,21.37
2024-11-12,20.301500000000008,15.62
2024-11-13,14.839000000000006,21.99
2024-11-14,20.890500000000007,22.83
2024-11-15,21.68850000000001,30.88
2024-11-16,29.336000000000013,29.46
2024-11-17,27.987000000000013,25.32
2024-11-18,24.05400000000001,30.14
2024-11-19,28.633000000000013,19.63
2024-11-20,18.648500000000006,26.48
2024-11-21,25.15600000000001,22.47
2024-11-22,21.34650000000001,24.62
2024-11-23,23.38900000000001,27.85
2024-11-24,26.457500000000014,20.03
2024-11-25,19.028500000000008,22.31
2024-11-26,21.19450000000001,26.53
2024-11-27,25.203500000000012,26.55
2024-11-28,25.22250000000001,24.42
2024-11-29,23.199000000000012,30.37
2024-11-30,28.851500000000012,23.72
2024-12-01,22.53400000000001,26.56
2024-12-02,25.23200000000001,24.04
2024-12-03,22.838000000000008,20.72
2024-12-04,19.684000000000008,17.93
2024-12-05,17.033500000000007,16.33
2024-12-06,15.513500000000004,18.96
2024-12-07,18.012000000000008,23.41
2024-12-08,22.23950000000001,25.63
2024-12-09,24.34850000000001,23.67
2024-12-10,22.48650000000001,25.35
2024-12-11,24.08250000000001,22.93
2024-12-12,21.783500000000007,24.57
2024-12-13,23.34150000000001,35.01
2024-12-14,33.25950000000001,30.91
2024-12-15,29.364500000000014,18.2
2024-12-16,17.290000000000006,19.91
2024-12-17,18.914500000000007,22.49
2024-12-18,21.365500000000008,23.03
2024-12-19,21.87850000000001,26.02
2024-12-20,24.71900000000001,28.06
2024-12-21,26.65700000000001,28.4
2024-12-22,26.98000000000001,37.62
